Name,Type,Average AA,Use,Recipes
Charles Faram - Santiam,Leaf/Whole,5.5,Boil,2
Charles Faram - Saphir,Pellet,3.2,Whirlpool,11
Charles Faram - Savinjski Golding,Pellet,3.3,Boil,78
Charles Faram - Simcoe,Pellet,13.1,Boil,260
Charles Faram - Simcoe T90,Pellet,1,Dry Hop,1
Charles Faram - Sladek,Pellet,5.6,Boil,70
Charles Faram - Sonnet,Pellet,4.8,Whirlpool,3
Charles Faram - Sorachi Ace,Pellet,12.5,Boil,50
Charles Faram - Sovereign,Leaf/Whole,4.9,Aroma,182
Charles Faram - Spalter Select,Pellet,4.2,Boil,124
Charles Faram - Sterling,Pellet,7.1,Boil,115
Charles Faram - Sticklebract,Pellet,13.5,Boil,2
Charles Faram - Styrian Cardinal,Lupulin Pellet,9.4,Aroma,162
Charles Faram - Styrian Dragon,Leaf/Whole,8.1,Boil,291
Charles Faram - Styrian Fox,Pellet,8.6,Boil,99
Charles Faram - Styrian Gold,Pellet,4.7,Boil,32
Charles Faram - Styrian Kolibri,Pellet,5,Boil,130
Charles Faram - Styrian Wolf,Leaf/Whole,14.1,Boil,845
Charles Faram - Summit,Leaf/Whole,14.5,Aroma,65
Charles Faram - Sybilla,Pellet,6.7,Whirlpool,45
Charles Faram - Taiheke,Pellet,7,Boil,9
Charles Faram - Target,Pellet,10.8,Boil,79
Charles Faram - Tettnang,Pellet,4.8,Boil,354
Charles Faram - Topaz,Pellet,16.9,Boil,12
Charles Faram - Tradition,Pellet,4.9,Boil,33
Charles Faram - Triskel,Leaf/Whole,7.2,Whirlpool,21
Charles Faram - Ultra,Pellet,2.2,Boil,1
Charles Faram - Vanguard,Pellet,5.8,Boil,6
Charles Faram - Vital,Pellet,11.1,Boil,29
Charles Faram - Wai-iti,Pellet,2.9,Hop Stand,32
Charles Faram - Waimea,Leaf/Whole,16.6,Boil,15
Charles Faram - Wakatu,Pellet,7.8,Dry Hop,24
Charles Faram - Warrior,Pellet,14,Boil,79
Charles Faram - WGV,Leaf/Whole,6.9,Boil,96
Charles Faram - Willamette,Pellet,5.6,Boil,200
Charles Faram - Zappa,Pellet,7,Whirlpool,9
charles farm - El Dorado,Pellet,13.4,Dry Hop,3
Clearvalley Hops - Wild Turkey,Pellet,14.1,Boil,24
Crosby Hop Farm - Amarillo,Pellet,8.9,Dry Hop,6
Crosby Hop Farm - Callista,Pellet,3.5,Boil,4
Crosby Hop Farm - Columbus,Lupulin Pellet,16.2,Boil,143
Crosby Hop Farm - Denali,Pellet,14.2,Boil,"3,693"
Crosby Hop Farm - El Dorado,Pellet,15.3,Boil,134
Crosby Hop Farm - Hallertau Blanc,Pellet,8,Dry Hop,6
Crosby Hop Farm - Huell Melon,Pellet,4,Dry Hop,3
Crosby Hop Farm - Mandarina Bavaria,Pellet,7.8,Dry Hop,3
Crosby Hop Farm - Uk fuggle,Pellet,4,Boil,1
Crossmyloof - Amarillo,Pellet,8.1,Boil,64
Crossmyloof - Centennial,Pellet,10,Boil,2
Crossmyloof - Citra,Pellet,12.8,Dry Hop,231
Crossmyloof - Gamma Ray Twist,Pellet,11.5,Boil,2
Crossmyloof - Mosaic,Pellet,11.5,Boil,5
Crossmyloof - Simcoe,Pellet,13.3,Boil,3
Crossmyloof - US Chinook,Pellet,12.6,First Wort,7
Fermentap - Cascade,Pellet,8.8,Boil,2
Finest - Azacca,Pellet,11.6,Boil,2
Finest - Bramling Cross,Pellet,7.5,Boil,4
Finest - Cascade,Pellet,6.9,Boil,8
Finest - Hersbrucker,Pellet,2.6,Boil,3
Finest Co - Huli Melon,Pellet,6.6,Aroma,1
Finest Co. Brewing Suppliers - Hallertau Blanc,Pellet,9.1,Dry Hop,1
Four Star Farms - Cascade,Fresh,7.7,Boil,99
Four Star Farms - Centennial,Pellet,11.3,Whirlpool,36
Four Star Farms - Chaos Teamaker Blend,Pellet,5.1,Boil,30
Four Star Farms - Magnum,Pellet,12.6,Boil,282
Four Star Farms - Pepite,Pellet,13.8,First Wort,4
glacier hops ranch - Ahhhroma,Pellet,16.6,Whirlpool,4
Great Lakes Hops - Bergamot,Pellet,9.9,Whirlpool,161
Great Lakes Hops - Emerald Spire,Pellet,8.9,Boil,81
Great Lakes Hops - Gemini,Pellet,10.2,Boil,63
Great Lakes Hops - Hydra,Pellet,11.8,Boil,50
Great Lakes Hops - Kirin II,Leaf/Whole,8,Boil,15
Great Lakes Hops - Mackinac,Pellet,9.9,Boil,300
Great Lakes Hops - Michigan Copper,Pellet,9.3,Boil,359
Great Lakes Hops - Paradigm,Pellet,8.6,Aroma,95
Hallertauer - Hüll Melon,Pellet,7.3,Whirlpool,2
Hallowed Hops - Chinook,Pellet,12.9,Boil,33
Hang'em High Hops - Bergamot,Pellet,10.3,Whirlpool,142
Hang'em High Hops - Emerald Spire,Pellet,9.1,Boil,45
Hang'em High Hops - Gemini,Pellet,8.1,Boil,21
Hang'em High Hops - Hydra,Pellet,11.6,Dry Hop,51
Hang'em High Hops - Mackinac,Leaf/Whole,9.8,Boil,40
Hang'em High Hops - Michigan Copper,Pellet,10.2,Whirlpool,79
Hang'em High Hops - Paradigm,Pellet,8.5,Boil,61
Hill Top Hops - Cascade,Pellet,6.1,Boil,308
Hill Top Hops - Newport,Pellet,8.2,Boil,38
homebrewstuff - Brewer's Gold,Pellet,9.5,Boil,2
homebrewstuff - El Dorado,Pellet,14.2,Boil,6
HomebrewSupply.com - Warrior,Pellet,16.2,Boil,2
Hop Head Farms - Zuper saazer,Pellet,4.9,Boil,7
Hop Products Australia - Cascade,Pellet,6.9,Boil,2
Hop Products Australia - El Doredo,Pellet,12.4,Boil,3
hop store - Cascade,Pellet,7.2,Boil,37
Hop Union - Ahtanum,Pellet,3.5,Dry Hop,8
Hop Union - Amarillo,Pellet,7.2,Boil,467
Hop Union - Centennial,Leaf/Whole,9.5,Boil,200
Hop Union - French Strisselspalt,Pellet,1.7,Boil,48
Hop Union - Fuggle,Pellet,4.4,Boil,26
Hop Union - German hallertau,Pellet,5.5,Boil,49
Hop Union - German Opal,Leaf/Whole,8.6,Boil,1
Hop Union - German Saphir,Pellet,3.4,Boil,45
Hop Union - German select,Pellet,5.1,Boil,10
Hop Union - German Spalt,Pellet,3.3,Boil,201
Hop Union - Liberty,Pellet,4.6,Boil,27
Hop Union - Nugget,Pellet,13.3,Boil,80
Hop Union - Palisade,Pellet,12.9,Boil,5
Hop Union - Quebec Golding,Pellet,4.5,Boil,10
Hop Union - Simcoe,Pellet,13.3,Boil,291
Hop Union - Sorachi Ace,Pellet,12.2,Dry Hop,28
Hop Union - Stella,Pellet,15,Boil,5
Hop Union - Topaz,Pellet,16.5,Whirlpool,3
Hop Union - UK Fuggle,Pellet,4.7,Boil,77
Hop Union - US fuggle,Pellet,5.6,Boil,24
Hop Union - US Hallertau,Pellet,4.7,Boil,41
Hop Union - US Saaz,Pellet,3.5,Boil,93
Hops Direct - Amarillo,Leaf/Whole,8.7,Boil,370
Hops Direct - AMARILLO® VGXP01 C.V.,Pellet,8,Boil,12
Hops Direct - Belma,Pellet,9.8,Whirlpool,178
Hops Direct - Cascade,Pellet,6.6,Whirlpool,361
Hops Direct - Cashmere,Pellet,8.1,Boil,478
Hops Direct - Centennial,Pellet,9,Boil,655
Hops Direct - Chinook,Pellet,11.5,Boil,204
Hops Direct - Citra,Pellet,12.3,Dry Hop,693
Hops Direct - Cluster,Pellet,8,Dry Hop,28
Hops Direct - Columbus,Pellet,9.7,Boil,39
Hops Direct - Crystal,Pellet,4.1,Boil,157
Hops Direct - Czech haaz,Pellet,3.1,Boil,4
Hops Direct - El Dorado,Pellet,11,Dry Hop,21
Hops Direct - Fuggles US,Leaf/Whole,5.9,Boil,79
Hops Direct - Galena,Pellet,14.1,Boil,29
Hops Direct - Idaho 7,Pellet,9.4,Dry Hop,6
Hops Direct - Idaho Gem,Pellet,13.7,Boil,4
Hops Direct - Legacy,Pellet,7.4,Boil,23
Hops Direct - LemonDrop,Pellet,5.1,First Wort,9
Hops Direct - Mandarina Bavaria,Leaf/Whole,6.8,Boil,17
Hops Direct - Mosaic,Pellet,11.5,Boil,658
Hops Direct - Northern Brewer,Pellet,7.8,Boil,14
Hops Direct - Pekko,Pellet,15.9,Whirlpool,64
Hops Direct - Saaz,Pellet,2.7,Boil,10
Hops Direct - Simcoe,Pellet,13.3,Boil,569
Hops Direct - Sorachi Ace,Pellet,11.7,First Wort,110
Hops Direct - Sultana,Pellet,12.4,Dry Hop,1
Hops Direct - Tettnanger US,Pellet,5.2,Boil,310
Hops Direct - UK FUGGLE,Pellet,4.5,Boil,19
Hops Direct - US Magnum,Leaf/Whole,10.8,Dry Hop,12
Hops Direct - Willamette,Pellet,5.6,Boil,147
Hopsi - Ahtanum USA - Hopsi 2018,Pellet,5.2,Boil,24
Hopsi - Amarillo USA - Hopsi 2018,Pellet,7.3,Boil,24
Hopsi - Centennial USA - Hopsi 2018,Pellet,8,Boil,34
Hopsi - Citra USA - Hopsi 2018,Pellet,11.5,Boil,24
Hopsi - Hallertau Blanc D - Hopsi 2018,Pellet,9.8,Dry Hop,12
Hopsi - Styrian Aurora Slo - Hopsi 2018,Pellet,8.8,Boil,23
Hopsi - Styrian Bobek Slo - Hopsi 2018,Pellet,4.5,Boil,21
Hopsi - Styrian Dana Slo - Hopsi 2018,Pellet,10.6,Boil,12
Hopsi - Styrian Wolf,Pellet,15,Boil,21
Hopsi - Styrian Wolf Slo - Hopsi 2018,Pellet,15,Boil,27
Hopsteiner - Admiral,Pellet,12.7,Boil,6
Hopsteiner - Akoya,Pellet,9.2,Boil,34
Hopsteiner - Altus,Pellet,16.4,Boil,51
Hopsteiner - Amarillo,Pellet,8.8,Boil,14
Hopsteiner - Apollo,Pellet,17,Boil,18
Hopsteiner - Aramis,Pellet,6.9,Boil,12
Hopsteiner - Ariana,Pellet,10.4,First Wort,2
Hopsteiner - Aurora,Pellet,8,Boil,10
Hopsteiner - Bitter Gold,Pellet,13.8,Boil,46
Hopsteiner - BOADICEA,Pellet,7.2,Boil,4
Hopsteiner - Bobek,Pellet,4.3,First Wort,13
Hopsteiner - Bravo,Pellet,13.9,Boil,33
Hopsteiner - Callista,Pellet,2.4,Boil,2
Hopsteiner - CALYPSO,Pellet,16.2,Whirlpool,25
Hopsteiner - Cascade,Pellet,6.2,Dry Hop,52
Hopsteiner - Cashmere,Pellet,8.5,Dry Hop,47
Hopsteiner - Centennial,Pellet,10,Whirlpool,46
Hopsteiner - Challenger,Pellet,6.7,Dry Hop,24
Hopsteiner - Chinook,Pellet,13,Boil,22
Hopsteiner - Cluster,Pellet,6.8,Boil,3
Hopsteiner - Columbus/Tomahawk,Lupulin Pellet,16,Whirlpool,32
Hopsteiner - Comet,Leaf/Whole,8.9,Boil,31
Hopsteiner - Comet Lupulin,Pellet,15.5,Whirlpool,2
Hopsteiner - Contessa,Pellet,2.7,Boil,22
Hopsteiner - Crystal,Pellet,3,Boil,8
Hopsteiner - Delta,Pellet,6,Aroma,21
Hopsteiner - Diamant,Pellet,6.9,Boil,5
Hopsteiner - El Dorado,Pellet,14.8,Dry Hop,38
Hopsteiner - Eureka,Pellet,19.1,Dry Hop (High Krausen),62
Hopsteiner - First Gold,Pellet,8,First Wort,5
Hopsteiner - Fuggle,Pellet,4.6,Boil,41
Hopsteiner - Galena,Pellet,12.1,Mash,12
Hopsteiner - Golding (UK),Pellet,5,Aroma,17
Hopsteiner - Hallertau Herkules,Pellet,17.4,Boil,19
Hopsteiner - Hallertauer Blanc,Pellet,10.5,Boil,29
Hopsteiner - Hallertauer Magnum,Pellet,13.1,Boil,150
Hopsteiner - Hallertauer Merkur,Pellet,12.3,Boil,15
Hopsteiner - Hallertauer Mittelfrueh,Pellet,4,Boil,119
Hopsteiner - Hallertauer Taurus,Pellet,24,Boil,4
Hopsteiner - Hallertauer Tradition,Leaf/Whole,5.6,Boil,47
Hopsteiner - Helios,Pellet,18,Boil,46
Hopsteiner - HERSBRUCKER,Pellet,2.5,Boil,8
Hopsteiner - HS09326,Pellet,5.5,Whirlpool,13
Hopsteiner - HS17701,Leaf/Whole,9,Whirlpool,21
Hopsteiner - Huell Melon,Pellet,7.1,Boil,20
Hopsteiner - Lemondrop,Pellet,5.4,Whirlpool,67
Hopsteiner - Liberty,Pellet,4,Boil,20
Hopsteiner - Lotus,Pellet,15.6,Dry Hop,174
Hopsteiner - Lotus Lupulin Pellets,Lupulin Pellet,24.1,Whirlpool,19
Hopsteiner - LUBELSKI (LUBLIN),Pellet,4.3,Boil,18
Hopsteiner - Mandarina Bavaria,Pellet,8.5,Whirlpool,12
Hopsteiner - MARYNKA,Pellet,10.5,Boil,3
Hopsteiner - Melba,Pellet,10.6,Dry Hop,31
Hopsteiner - MOTUEKA,Pellet,7.1,Whirlpool,19
Hopsteiner - Mt Hood,Pellet,5.7,Whirlpool,44
Hopsteiner - Mt Ranier,Leaf/Whole,7,Boil,5
Hopsteiner - NELSON SAUVIN,Pellet,11,Boil,20
Hopsteiner - Northdown,Pellet,8,Boil,3
Hopsteiner - Northern Brewer,Pellet,7.9,Boil,11
Hopsteiner - Nugget,Pellet,12.5,First Wort,17
Hopsteiner - Opal,Pellet,6.5,Boil,3
Hopsteiner - Perle,Pellet,6,Boil,70
Hopsteiner - Pilgrim,Extract,50,Boil,1
Hopsteiner - Polaris,Pellet,20.3,Boil,24
Hopsteiner - PREMIANT,Leaf/Whole,9.4,Boil,6
Hopsteiner - Riwaka,Pellet,5,Dry Hop,21
Hopsteiner - Saazer,Leaf/Whole,3.2,Boil,53
Hopsteiner - Saphir,Pellet,3.2,Boil,6
Hopsteiner - SLÁDEK,Pellet,9.9,Boil,6
Hopsteiner - SMARAGD,Lupulin Pellet,5.1,Boil,8
Hopsteiner - Solero,Pellet,9,Hop Stand,53
Hopsteiner - Sorachi Ace,Pellet,13,Boil,1
Hopsteiner - Spalter,Pellet,4,Whirlpool,8
Hopsteiner - Spalter Select,Pellet,5.3,Boil,28
Hopsteiner - Sterling,Pellet,5.1,Boil,11
Hopsteiner - Strisselspalter,Pellet,3.8,Boil,5
Hopsteiner - Styrian Golding,Pellet,5.1,First Wort,20
Hopsteiner - Sultana,Pellet,13.9,Dry Hop,253
Hopsteiner - Sultana Lupulin,Lupulin Pellet,24.2,Whirlpool,4
Hopsteiner - Summit,Pellet,15.5,First Wort,4
Hopsteiner - Super Galena,Pellet,13.9,Boil,10
Hopsteiner - Tahoma,Pellet,7.1,Boil,11
Hopsteiner - Target,Pellet,10.4,Boil,7
Hopsteiner - Tettnanger,Pellet,3.5,Boil,75
Hopsteiner - Titan,Leaf/Whole,15.8,Boil,6
Hopsteiner - Trident,Pellet,12.7,First Wort,156
Hopsteiner - Triskel,Pellet,4.3,Boil,37
Hopsteiner - Willamette,Pellet,5.9,Boil,33
Hopsteiner - X06297,Pellet,15.1,Aroma,44
Hopsteiner - X07270,Pellet,15,Boil,2
Hopsteiner - X10416,Leaf/Whole,14,Whirlpool,2
Hopsteiner - Zeus,Pellet,18.5,Boil,1
Hoptimus Rex - German Hersbrucker,Pellet,1.7,Boil,2
Hoptimus Rex - Herkules (DE),Pellet,18.5,Boil,1
houblon des jarrets noirs - HJN IPA22,Pellet,11,Dry Hop (High Krausen),4
hpa - Enigma,Pellet,18,Boil,4
HPA (Australia) - Enigma,Pellet,17.7,Boil,2
Incognito - Centennial,Extract,40.3,Whirlpool,70
Incognito - Chinook,Pellet,40.1,Boil,72
Incognito - Citra,Extract,49.7,Whirlpool,418
Incognito - Ekuanot,Pellet,49.7,Aroma,18
Incognito - El Dorado,Pellet,45.9,Whirlpool,64
Incognito - Mosaic,Pellet,49.1,Whirlpool,256
Incognito - Sabro,Leaf/Whole,46.9,Whirlpool,48
kegland - Citra,Pellet,14.2,Whirlpool,2
laguilhoat - Amarillo,Pellet,8.6,Dry Hop,9
laguilhoat - Cascade,Pellet,6.5,Boil,9
laguilhoat - Citra,Pellet,13.6,Boil,11
laguilhoat - Nugget,Pellet,15.1,Boil,3
LD Carlson - Amarillo,Pellet,9.2,Dry Hop,81
LD Carlson - Centennial,Pellet,10.4,Boil,120
LD Carlson - Challenger,Pellet,5.3,Boil,2
LD Carlson - Crystal,Pellet,4,Boil,6
LD Carlson - El Dorado,Pellet,14.1,Whirlpool,41
LD Carlson - galena,Pellet,12.5,Boil,1
LD Carlson - German Hallertau Blanc,Pellet,9.8,Boil,132
LD Carlson - GERMAN HALLERTAU MITTELFRUH,Pellet,3.9,Boil,275
LD Carlson - German Mandarina Bavaria,Pellet,6.7,Boil,2
LD Carlson - Lemondrop,Pellet,6,Whirlpool,134
LD Carlson - Willamette,Pellet,4.7,Boil,131
Lone Mountain Farms - Mount Hood,Pellet,9,Boil,18
Lupin Mart - Brewers Gold,Leaf/Whole,7.1,Boil,366
Malt Miller - Celeia,Leaf/Whole,1.6,Dry Hop,1
Malt Miller - Citra,Pellet,14.2,Hop Stand,1
Malt Miller - Fusion,Pellet,6.4,Aroma,3
Malt Miller - Lemondrop,Pellet,5.3,Boil,2
Malt Miller - Minstrel,Leaf/Whole,4.8,Dry Hop,2
Malt Miller - Willamette,Pellet,5.3,Hop Stand,1
Michigan Hop Alliance - Brewers Gold,Pellet,9,Boil,13
Michigan Hop Alliance - Enigma,Pellet,18.7,Whirlpool,4
Michigan Hop Alliance - Motueka,Pellet,8.1,Dry Hop,1
Michigan Hop Alliance - Nectaron,Pellet,8.1,Whirlpool,6
Michigan Hop Alliance - Riwaka,Pellet,6.1,Whirlpool,7
Michigan Hop Alliance - Sultana,Pellet,13.7,Boil,3
Mighty Axe - Julius,Pellet,7.9,Boil,30
Mighty Axe - Tropica,Pellet,10.8,Boil,18
Morebeer - Idaho 7,Pellet,12.5,Dry Hop,17
morgan's - hallertau,Pellet,3.3,Boil,1
morgan's - tettnanger,Pellet,3.6,Boil,1
Mr Malt - Spalt Spalter,Pellet,4.8,Boil,1
Northern Brewer - Amarillo,Pellet,8.4,Boil,2
Northern Brewer - Australian Galaxy,Pellet,14.8,Boil,"1,318"
Northern Brewer - Azacca,Pellet,11,Whirlpool,201
Northern Brewer - Cascade,Pellet,7.7,Boil,895
Northern Brewer - Centennial,Pellet,10.5,Boil,479
Northern Brewer - Chinook,Pellet,12,Boil,461
Northern Brewer - Citra,Pellet,12.1,Boil,740
Northern Brewer - Cluster,Pellet,7.6,Boil,214
Northern Brewer - Crystal,Leaf/Whole,3.2,Boil,94
Northern Brewer - Czech Saaz,Pellet,3.5,Boil,1
Northern Brewer - Denali,Pellet,14,Boil,297
Northern Brewer - El Dorado,Pellet,14.5,Dry Hop,245
Northern Brewer - Fuggle,Pellet,5.4,Boil,465
Northern Brewer - Galaxy (AU),Pellet,15.5,Boil,1
Northern Brewer - German Hallertau,Pellet,3.9,Boil,794
Northern Brewer - German Magnum,Pellet,13.4,Boil,4
Northern Brewer - German Mandarina,Pellet,8,Boil,116
Northern Brewer - German Northern Brewer,Pellet,8.5,Boil,2
Northern Brewer - German Tettnang,Pellet,3.6,Boil,"1,266"
Northern Brewer - Glacier,Pellet,4.9,Boil,2
Northern Brewer - Goldings (US),Pellet,4.3,Boil,1
Northern Brewer - Hallertau,Pellet,4.2,Boil,"3,969"
Northern Brewer - Hallertau (DE),Pellet,3.5,Boil,4
Northern Brewer - Hersbrucker,Pellet,2.2,Boil,2
Northern Brewer - Horizon,Pellet,11,Dry Hop,2
Northern Brewer - Idaho 7,Pellet,12.1,Boil,767
Northern Brewer - Idaho Gem,Pellet,12.5,Dry Hop,19
Northern Brewer - Kent Goldings (UK),Pellet,6.1,Boil,1
Northern Brewer - Magnum (DE),Pellet,12.7,Boil,2
Northern Brewer - Mighty Axe Julius,Pellet,7.2,Boil,278
Northern Brewer - Mighty Axe Tropica,Pellet,10.2,Boil,174
Northern Brewer - Mosaic,Pellet,11.3,Dry Hop,666
Northern Brewer - Northern Brewer (US),Pellet,7.9,Boil,4
Northern Brewer - Nugget,Pellet,11.2,Boil,1
Northern Brewer - Saaz (CZ),Pellet,11.2,Aroma,18
Northern Brewer - Southern Promise,Pellet,10.7,Boil,64
Northern Brewer - Strisselspalt,Pellet,2,Boil,5
Northern Brewer - Styrian Golding,Pellet,4.8,Boil,205
Northern Brewer - Tettnanger (DE),Pellet,2.5,Boil,5
Northern Brewer - UK Fuggle,Pellet,5.6,Boil,407
Northern Brewer - UK Kent Goldings,Pellet,5.6,Boil,1
Northern Brewer - US Brewer Gold,Pellet,9,Boil,165
Northern Brewer - US Goldings,Pellet,5,Boil,531
Northern Brewer - Williamette,Pellet,5.2,Boil,"1,918"
Northern Brewer - Zappa,Pellet,5.1,Boil,8
Northern Brewer Premium - Simcoe,Pellet,12.9,Boil,3
northwest hop farms - BC Cascade,Pellet,5.5,Boil,2
nz hops - Nelson Sauvin,Pellet,11,Boil,9
nzhops - Motueka,Pellet,8.2,Boil,4
nzhops - Nectaron,Pellet,11,Hop Stand,3
nzhops - Nelson Sauvin,Pellet,9.8,Boil,4
nzhops - NZ Pacific Jade,Pellet,10.9,Boil,3
nzhops - NZ Southern Cross,Pellet,11,Boil,2
nzhops - Taiheke,Pellet,9.8,Aroma,2
ølbrygging.no - Saaz,Pellet,3.5,Dry Hop,1
sabro - HBC-438,Pellet,14,Boil,6
schweddy bohemian - Cluster,Leaf/Whole,7.8,Boil,43
Simply Hops - Chinook,Pellet,11.5,Boil,7
Simply Hops - Citra,Pellet,13,Hop Stand,4
Simply Hops - Geterbrewed,Pellet,15.3,Boil,1
Simply Hops - Magnum,Pellet,12.5,Boil,6
Simply Hops - Mosaic,Pellet,11.6,Hop Stand,1
Simply Hops - Summit,Pellet,15.3,Boil,1
Simply Hops - Vic Secret,Pellet,18.6,Boil,3
Tavistock - Heritage,Pellet,3.7,Boil,3
Tenacious Badger - Cascade,Pellet,5.6,Boil,1
Tenacious Badger - Mackinac,Pellet,9.3,First Wort,8
Tenacious Badger - Mt. Hood,Pellet,4.4,Boil,1
Tenacious Badger - Willamette,Pellet,4.6,Boil,1
The Homebrew Company - Challenger,Leaf/Whole,7.3,Boil,4
The Homebrew Company - Fuggles,Leaf/Whole,10.1,Boil,5
The Homebrew Company - Styrian Goldings,Leaf/Whole,3.9,Boil,4
The Homebrew Company - Williamette,Leaf/Whole,5.8,Boil,2
the malt miller - Aged Hops,Leaf/Whole,2,Boil,1
Tyskland - Polaris,Pellet,20.5,Boil,6
Virgil Gamache Farms Inc - Amarillo,Pellet,8.6,Whirlpool,21
Yakima Chief Hops - Amarillo,Leaf/Whole,9.5,Boil,"2,875"
Yakima Chief Hops - Amarillo Cryo,Lupulin Pellet,16,Whirlpool,"1,353"
Yakima Chief Hops - Azacca Cryo,Lupulin Pellet,19.7,Dry Hop,353
Yakima Chief Hops - Brewer’s Gold,Pellet,8.9,Boil,6
Yakima Chief Hops - Cascade,Pellet,6.3,Boil,"5,093"
Yakima Chief Hops - Cascade DBL,Debittered Leaf,1.5,Boil,124
Yakima Chief Hops - Cascade LupuLN2 (Cryo),Lupulin Pellet,12.5,Whirlpool,"1,850"
Yakima Chief Hops - Cashmere Cryo,Pellet,16.6,Boil,2
Yakima Chief Hops - Celeia,Pellet,2.8,Whirlpool,5
Yakima Chief Hops - Centennial,Pellet,9.9,Boil,"3,340"
Yakima Chief Hops - Chinook,Pellet,13.5,Boil,"1,721"
Yakima Chief Hops - Citra,Pellet,13,Boil,"8,968"
Yakima Chief Hops - Citra DBL,Pellet,3.2,Boil,189
Yakima Chief Hops - Citra LupuLN2 (Cryo),Lupulin Pellet,24.6,Dry Hop,"7,145"
Yakima Chief Hops - Cluster,Pellet,7,Boil,2
Yakima Chief Hops - Cluster Fugget,Pellet,7.9,Boil,166
Yakima Chief Hops - Columbus,Pellet,15.9,Boil,"2,269"
Yakima Chief Hops - Columbus LupuLN2 (Cryo),Lupulin Pellet,24.7,First Wort,985
Yakima Chief Hops - Comet,Pellet,0,Boil,2
Yakima Chief Hops - Crystal,Pellet,4.3,Boil,234
Yakima Chief Hops - East Kent Golding,Pellet,4.9,Dry Hop,14
Yakima Chief Hops - East Kent Goldings,Pellet,5.6,Boil,11
Yakima Chief Hops - Ekuanot,Pellet,13.8,Boil,807
Yakima Chief Hops - Ekuanot DBL,Debittered Leaf,3.1,Boil,16
Yakima Chief Hops - Ekuanot LupuLN2 (Cryo),Lupulin Pellet,24.8,Boil,981
Yakima Chief Hops - El Dorado,Pellet,14.7,Whirlpool,"1,163"
Yakima Chief Hops - El Dorado Cryo,Lupulin Pellet,23.8,Boil,7
Yakima Chief Hops - Falconer's Flight,Pellet,10.7,Whirlpool,428
Yakima Chief Hops - Fuggle UK,Pellet,4.4,Boil,705
Yakima Chief Hops - German Hallertau,Pellet,3.7,Boil,"2,967"
Yakima Chief Hops - German Magnum,Pellet,13.3,Boil,"1,378"
Yakima Chief Hops - German Northern Brewer,Pellet,8.2,Boil,464
Yakima Chief Hops - German Tettnang,Pellet,4.1,Boil,"1,539"
Yakima Chief Hops - Hallertau,Pellet,4.8,Boil,557
Yakima Chief Hops - Hallertauer Magnum,Pellet,14.7,Boil,150
Yakima Chief Hops - Hersbrucker,Pellet,2.7,Boil,278
Yakima Chief Hops - Idaho 7,Pellet,12.6,Hop Stand,6
Yakima Chief Hops - Idaho 7 Cryo,Lupulin Pellet,22.1,Dry Hop,"1,107"
Yakima Chief Hops - Loral,Pellet,11.3,Whirlpool,346
Yakima Chief Hops - Loral DBL,Debittered Leaf,2.9,Boil,73
Yakima Chief Hops - Loral LupuLN2 (Cryo),Lupulin Pellet,20,Boil,610
Yakima Chief Hops - Magnum,Pellet,13.1,Boil,"1,146"
Yakima Chief Hops - Mosaic,Pellet,12.1,Boil,"4,960"
Yakima Chief Hops - Mosaic DBL,Debittered Leaf,3.1,Dry Hop,121
Yakima Chief Hops - Mosaic LupuLN2 (Cryo),Lupulin Pellet,22.1,Boil,"5,525"
Yakima Chief Hops - MT Hood,Pellet,5.3,Boil,"1,278"
Yakima Chief Hops - Nugget,Pellet,14.3,Boil,814
Yakima Chief Hops - NZ Southern Cross,Pellet,13.3,Boil,2
Yakima Chief Hops - NZ Tahieke,Pellet,7,Boil,2
Yakima Chief Hops - Pink Boots 2020,Pellet,12.4,Boil,12
Yakima Chief Hops - Pink Boots Blend,Pellet,12,Whirlpool,5
Yakima Chief Hops - Pink Boots Blend 2021,Pellet,11,Boil,7
Yakima Chief Hops - Pink Boots Blend 2022,Pellet,11.5,Dry Hop,9
Yakima Chief Hops - Pink-Boots-Blend-2021,Pellet,10.7,Boil,11
Yakima Chief Hops - Saaz,Pellet,3.5,Whirlpool,"1,318"
Yakima Chief Hops - Saaz CZ,Pellet,3.4,Boil,"1,073"
Yakima Chief Hops - Simcoe,Pellet,13.4,Boil,"5,242"
Yakima Chief Hops - Simcoe DBL,Debittered Leaf,3.9,Dry Hop,103
Yakima Chief Hops - Simcoe LupuLN2 (Cryo),Lupulin Pellet,23.2,Dry Hop,"3,953"
Yakima Chief Hops - Sorachi Ace,Pellet,13.5,Boil,17
Yakima Chief Hops - Summer,Pellet,6.1,Boil,7
Yakima Chief Hops - Topaz,Leaf/Whole,16.8,Boil,71
Yakima Chief Hops - Tradition,Leaf/Whole,5.7,Boil,181
Yakima Chief Hops - UK East Kent Golding,Pellet,5.4,Boil,5
Yakima Chief Hops - UK Fuggle,Pellet,4.3,Boil,336
Yakima Chief Hops - US Golding,Plug,5,Boil,605
Yakima Chief Hops - Willamette,Pellet,5.8,Boil,3
Yakima Valley Hops - Adeena,Pellet,5.4,Boil,6
Yakima Valley Hops - African Queen,Pellet,11.3,Boil,"1,376"
Yakima Valley Hops - Amarillo,Pellet,8.4,Boil,"2,394"
Yakima Valley Hops - AU Ella,Pellet,14.8,Whirlpool,340
